Städte,pH-Wert ,Härtebereich,Ammonium ,Calcium,Eisen,Kalium,Magnesium,Mangan,Natrium,Wasserhärte,Chlorid,Phosphat
Datteln,"7,61","2,00","0,05","75,00","0,010","5,00","4,70","0,002","18,00","11,80","28,00","0,51"
Diemelsee, ,"2,77", , , , , , , ,"14,53", , 
Dorsten,"7,41","2,00","0,02","77,40","0,005","1,70","3,90","0,005","9,60","11,80","24,00","1,87"
Dortmund,"7,81","1,00","0,05","47,00","0,010","3,20","6,18","0,002","30,20","7,90","35,80","0,21"
Drensteinfurt,"7,87","1,00","0,05","44,50","0,010","2,65","5,70","0,002","23,00","7,55","31,50","0,18"
Duisburg,"7,41","2,25","0,03","84,10","0,015","4,11","8,63","0,005","24,80","13,80","41,25","0,74"
Dülken,"8,02","2,00", ,"53,40", ,"2,90","13,40", ,"14,00","10,60","33,80", 
Düren,"8,53","1,50","0,03","39,60","0,011","2,15","9,25","0,005","18,25","7,65","24,00", 
Düsseldorf,"7,50","3,00","0,02","85,00","0,007","3,80","12,00","0,004","42,00","14,60","77,00","0,50"
Emsdetten,"7,67","2,00","0,05","84,50","0,010","4,31","8,95","0,005","19,90","13,90","28,70", 
Engelskirchen,"8,20","1,00","0,10","32,70","0,010","1,50","3,10","0,005","6,10","5,30","12,30","0,03"
Erftstadt,"7,70", ,"0,10","102,00","0,040","3,00", ,"0,020","13,40","3,29","48,00", 
Eschweiler,"8,29","1,67","0,01","41,28","0,005","1,85","13,10","0,001","22,05","8,63","16,63", 
Essen,"7,94","1,00","0,05","40,00","0,010","4,10","7,30","0,002","35,00","7,30","50,00","0,22"
Euskirchen,"7,64","2,00","0,02","99,20","0,100", ,"19,20","0,010","30,90","18,30", , 
Frechen,"7,39","2,50","0,05","90,50","0,020","3,55","14,50","0,001","23,90","16,00","42,60","0,05"
Fröndenberg,"7,86","1,00","0,05","47,00","0,010","3,00","5,90","0,002","27,00","8,00","35,00","0,21"
Gelsenkirchen,"7,78","1,50","0,05","57,50","0,010","4,50","6,00","0,002","26,50","9,55","39,00","0,37"
Gescher,"8,24","1,00","0,02","21,60","0,005","1,40","2,10","0,005","35,40","3,50","15,00","1,93"
Gladbeck,"7,41","2,00","0,02","77,40","0,005","1,70","3,90","0,005","9,60","11,80","24,00","1,87"
Greven,"7,85","3,00","0,05","125,00","0,010","4,56","8,55","0,005","40,70","19,50","43,50", 
Grevenbroich,"7,70","2,25","0,04","68,00","0,018","4,08","16,50","0,010","25,10","13,27","27,53","0,69"
Gummersbach,"8,20","1,00","0,10","32,70","0,010","1,50","3,10","0,005","6,10","5,30","12,30","0,03"
Gütersloh,"7,28","3,00","0,00","121,00","0,040","3,70", ,"0,000","27,50","18,00","50,30","0,43"
Hagen,"8,07","1,00","0,04","34,40","0,010", ,"5,35","0,005","20,05","6,05","27,00", 
Haltern,"7,61","2,00","0,05","75,00","0,010","5,00","4,70","0,002","18,00","11,80","28,00","0,51"
Hamm,"7,84","1,33","0,03","46,67","0,007","2,63","5,73","0,003","21,67","7,83","31,00","0,16"
Hattingen,"7,94","1,00","0,05","40,00","0,010","4,00","7,30","0,002","35,00","7,30","50,00","0,22"
Havixbeck,"7,61","2,00","0,05","75,00","0,010","5,00","4,70","0,002","18,00","11,80","28,00","0,51"
Heiligenhaus,"8,20","1,00","0,10","32,70","0,010","1,50","3,10","0,005","6,10","5,30","12,30","0,03"
Heinsberg,"7,69","2,00","0,03","42,30","0,023", ,"5,80","0,005","9,41", ,"21,00", 
Herford,"7,66","3,00","0,02","89,05","0,010", ,"22,85","0,010","34,40","17,50","74,00", 
Herne,"7,73","1,50","0,05","75,00","0,010","4,50","5,60","0,002","23,50","9,35","33,00","0,51"
Herscheid,"8,60", ,"0,01","11,70","0,002","0,70","2,40","0,001","6,70", ,"12,00","0,01"
Herten,"7,61","2,00","0,05","75,00","0,010","5,00","4,70","0,002","18,00","11,80","28,00","0,51"
Hiddenhausen,"7,40","4,00","0,10","113,00","0,010", ,"36,00","0,010","16,70","25,00","43,70", 
Hilden,"7,56","2,00","0,02","59,10","0,010","3,15","10,20","0,010","25,80","10,60","28,60","0,80"
Horstmar,"7,41","3,00","0,05","112,00","0,010","1,35","5,90","0,005","26,40","17,10","35,70", 
Hörstel,"7,50", ,"0,05","110,00","0,010","3,50","3,70","0,005","16,00","16,40","32,00", 
Hüllhorst,"7,54","4,00","0,10","139,00","0,010","3,20","12,70","0,010","30,30","22,40","68,00", 
Hürth,"7,71","2,00","0,05","46,90","0,020","7,40","14,10","0,001","95,90","9,80","78,20", 
Inden,"7,78","2,00","0,02","69,40","0,010","1,70","12,60","0,005","6,20","12,60","6,90","1,78"
Issum,"7,58","2,00","0,05","72,00","0,010","4,00","10,20","0,002","32,00","12,50","59,00","2,25"
Jülich,"7,78","2,00","0,02","69,40","0,010","1,70","12,60","0,005","6,20","12,60","6,90","1,78"
Kalletal,"7,88","1,00","0,05","42,00","0,010","2,30","5,50","0,002","19,00","7,10","28,00","0,14"
Kamen,"7,86","1,00","0,05","47,00","0,010","3,00","5,90","0,002","27,00","8,00","35,00","0,21"
Kamp-Lintfort,"7,47","2,00","0,00","69,50","0,010","3,80","10,10","0,010","34,10","12,20","57,70", 
Kempen,"7,92","2,00","0,02","58,40","0,010","3,65","15,00","0,010","42,70","11,60","44,80", 
Krefeld,"7,83","2,00","0,05","66,55","0,010","3,45","15,15","0,005","29,10", ,"44,65","0,15"
